APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
2020002009,01/26/2017,Single Family,"8201 N CLEMENS AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2020004014,03/23/2017,Single Family,"23427 W BLYTHE ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Fay Servicing LLC,Grace Wesson,877-338-3791,"Law Offices of Buckley Madole, P.C.",Bruce Maloney JR,301  E Ocean  1720 Long Beach IL 90802 ,732-692-2081
2020014021,01/02/2017,Single Family,"23723 W STAGG ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2020017065,01/05/2017,Single Family,"7932 N MAESTRO AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2020021023,01/08/2017,Single Family,"23441 W JONATHAN ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2020023010,01/12/2017,Single Family,"7821 N BOBBYBOYAR AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2024013072,01/05/2017,Single Family,"7060 SHOUP
LOS ANGELES, CA 91401
",LOS ANGELES,CA,91401,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2024039038,02/08/2017,Single Family,"7060 SHOUP
LOS ANGELES, CA 91401
",LOS ANGELES,CA,91401,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056 ,760-634-6589
2027001049,01/16/2017,Single Family,"7710 N ATRON AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2027028007,01/14/2017,Single Family,"23545 W SPIRES ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2027040032,01/16/2017,Single Family,"23910 W STAGG ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Caliber Home Loans,Customer Service,1906   Irvine AVE  Newport Beach CA 92660 ,800-570-570
2039020016,01/28/2017,Single Family,"22713 W SYLVAN ST
LOS ANGELES, CA 91367
",LOS ANGELES,CA,91367,3,FLS REALTY LLC,Yefim Sklyar,818-888-5324,FLS REALTY LLC,Yefim Sklyar,23942   CALIFA ST  WOODLAND HILLS CA 91367 ,818-888-5324
2039026001,03/14/2017,Single Family,"22430 W SYLVAN ST
LOS ANGELES, CA 91367
",LOS ANGELES,CA,91367,3,US Bank National Association,US BANK National Association,612-973-2749,Safeguard,Safeguard Properties,22430   Sylvan ST  Woodland Hills CA 91367 ,216-739-2900
2076013020,01/31/2017,Single Family,"22711 W MULHOLLAND DR
LOS ANGELES, CA 91364
",LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2076022049,02/02/2017,Single Family,"22157 W MULHOLLAND DR
LOS ANGELES, CA 91364
",LOS ANGELES,CA,91364,3,JACK WOLFORD,KELLI ESPINOZA,818-206-3160,NULL,NULL,         ,NULL
2106008002,01/04/2017,Single Family,"7730 N QUAKERTOWN AVE
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2107023029,01/13/2017,Single Family,"7818 N COMANCHE AVE
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,DITECH FINANCIAL LLC,NICOLE ARRETCHE,877-272-2149,So Cal Inspectors,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241 ,877-242-2149
2107023029,01/17/2017,Single Family,"7818 N COMANCHE AVE
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,DITECH FINANCIAL LLC,NICOLE ARRETCHE,877-272-2149,So Cal Inspectors,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241 ,877-242-2149
2109013017,03/13/2017,Single Family,"20947 W HEMMINGWAY ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,"SETERUS, INC",KEVIN QUILLAN,877-272-2149,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241 ,760-591-9244
2109018006,03/29/2017,Single Family,"21025 W STAGG ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2110005011,01/05/2017,Single Family,"21621 W ARMINTA ST
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660 ,949-294-8778
2110013108,01/16/2017,Single Family,"7730 N TOPANGA CANYON BLVD
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2110014090,01/03/2017,Single Family,"7650 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91304
",LOS ANGELES,CA,91304,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc. Mortgage Contracting Services, Inc.",6504   International Parkway PKWY 1500 Plano TX 75093 ,866-563-1100
2114018099,01/05/2017,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336 ,909-822-1706
2115010027,01/06/2017,Single Family,"7258 N HATILLO AVE
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,"Trinity Financial Services, LLC",David Vo,855-734-0411,"Trinity Financial Services, LLC",Don Madden III,2618   San Miguel DR 303 Newport Beach CA 92660 ,855-818-6806
2116002094,01/13/2017,Single Family,"19545 SHERMAN
LOS ANGELES, CA 91604
",LOS ANGELES,CA,91604,3,Freedom Mortgage,Jared Huffman,855-690-5900,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2151012073,01/18/2017,Single Family,"5518 N KEOKUK AVE
LOS ANGELES, CA 91367
",LOS ANGELES,CA,91367,3,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2151012074,01/30/2017,Single Family,"5514 N KEOKUK AVE
LOS ANGELES, CA 91367
",LOS ANGELES,CA,91367,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2151024031,01/31/2017,Single Family,"5733 N OSO AVE
LOS ANGELES, CA 91367
",LOS ANGELES,CA,91367,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2156028147,01/11/2017,Single Family,"18550 HATTERAS
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Law Offices of Les Zieve,Reyna Ailima,18377   BEACH BLVD 210 HUNTINGTON BEACH CA 92648 ,714-848-7920
2157002073,03/27/2017,Single Family,"18333 W HATTERAS ST 63-124
LOS ANGELES, CA 91356
",LOS ANGELES,CA,91356,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2161018005,01/03/2017,Single Family,"5300 N RESEDA BLVD
LOS ANGELES, CA 91335
",LOS ANGELES,CA,91335,3,Wells Fargo Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010 ,213-804-7437
2161018035,01/05/2017,Single Family,"5230 N RESEDA BLVD
LOS ANGELES, CA 91335
",LOS ANGELES,CA,91335,3,Nationstar Mortgage,Dawn Campos,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2172018022,01/28/2017,Single Family,"21091 W ALHAMA DR
LOS ANGELES, CA 91364
",LOS ANGELES,CA,91364,3,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2173002033,01/02/2017,Single Family,"4348 N TOPANGA CANYON BLVD
LOS ANGELES, CA 91364
",LOS ANGELES,CA,91364,3,HSBC Bank USA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2175015038,01/03/2017,Single Family,"4931 N CORBIN AVE
LOS ANGELES, CA 91364
",LOS ANGELES,CA,91364,3,"Wilmington Trust, C/O Select Portfolio Servicing",NA NA,888-349-8964,NA,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2230013006,02/22/2017,Multi-Family,"17220 W VANOWEN ST
VAN NUYS, CA 91406
",VAN NUYS,CA,91406,6,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2230015016,02/21/2017,Single Family,"17257 W LEMAY ST
LOS ANGELES, CA 91406
(34.191132, -118.509576)",LOS ANGELES,CA,91406,6,IRIS PASHIE,KELLI ESPINOZA,818-206-3160,NULL,NULL,         ,NULL
2257019115,01/03/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100
2257019149,02/16/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,East-West Bank,Lois Shivers-Wynn,626-371-8829,NULL,NULL,         ,NULL
2257019194,01/25/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2257020003,01/31/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2257020035,01/24/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2257020063,01/04/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2257020102,01/17/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2257020129,01/09/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2257020177,01/02/2017,Single Family,"5460 WHITE OAK
LOS ANGELES, CA 91436
",LOS ANGELES,CA,91436,5,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2261036035,01/05/2017,Single Family,"15473 W LA MAIDA ST
LOS ANGELES, CA 91403
",LOS ANGELES,CA,91403,5,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100
2274003005,01/16/2017,Single Family,"3952 N BEVERLY GLEN BLVD
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,4,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2274008010,03/08/2017,Single Family,"3566 N BEVERLY GLEN BLVD
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,4,BAYVIEW LOAN SERVICING LLC FOR BANK OF NEW YORK MELLON,MICHAEL LOPATA,954-590-7161,SUPERIOR FIELD SERVICES,MOTI SHOHAM,5525   MORELLA AVE  NORTH HOLLYWOOD CA 91607 ,818-424-4732
2274018002,01/26/2017,Single Family,"14242 W MILLBROOK DR
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,4,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743
2275030004,01/03/2017,Single Family,"3731 N BEVERLY GLEN BLVD
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,4,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2280001022,01/03/2017,Single Family,"4160 N SEPULVEDA BLVD
LOS ANGELES, CA 91403
",LOS ANGELES,CA,91403,5,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,EEC CORP,Serene Maliczak,19655   Galeview DR  ROWLAND HEIGHTS CA 91748 ,562-697-9988
2301017024,01/18/2017,Single Family,"8136 N MAMMOTH AVE
LOS ANGELES, CA 91605
",LOS ANGELES,CA,91605,6,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2307023095,01/31/2017,Single Family,"7115 N ST CLAIR AVE
LOS ANGELES, CA 91605
",LOS ANGELES,CA,91605,2,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2309026001,02/14/2017,Single Family,"7901 N LAUREL CANYON BLVD
LOS ANGELES, CA 91605
",LOS ANGELES,CA,91605,2,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2321011043,01/17/2017,Single Family,"6938 N LAUREL CANYON BLVD
LOS ANGELES, CA 91605
",LOS ANGELES,CA,91605,2,East-West Bank,Lois Shivers-Wynn,626-371-8829,Five Brothers Mortgage Services,Christina  Atkins,14156  E Eleven Mile Rd  Warren MI 48089 ,586-772-7600
2321011044,01/18/2017,Single Family,"6938 N LAUREL CANYON BLVD
LOS ANGELES, CA 91605
",LOS ANGELES,CA,91605,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056 ,760-634-6589
2412031068,01/06/2017,Single Family,"6716 N CLYBOURN AVE
LOS ANGELES, CA 91606
",LOS ANGELES,CA,91606,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2412031142,01/04/2017,Single Family,"6716 N CLYBOURN AVE
LOS ANGELES, CA 91606
",LOS ANGELES,CA,91606,2,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,512-833-8101
2412031165,01/31/2017,Single Family,"6716 N CLYBOURN AVE
LOS ANGELES, CA 91606
",LOS ANGELES,CA,91606,2,Federal National Mortgage Association,Aileen Cabalu,626-396-5100,Sentinel Property Preservation,Hollie Poboy,375  S State ST  Clearfield UT 84015 ,801-902-6764
2412033150,02/07/2017,Single Family,"6642 N CLYBOURN AVE
LOS ANGELES, CA 91606
",LOS ANGELES,CA,91606,2,Celink,Cory Daggett,866-654-0020,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336 ,909-822-1706
2414034013,01/08/2017,Single Family,"6510 N CLYBOURN AVE
LOS ANGELES, CA 91606
",LOS ANGELES,CA,91606,2,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056 ,760-634-6589
2420006009,01/10/2017,Single Family,"4849 N LEDGE AVE
LOS ANGELES, CA 91601
",LOS ANGELES,CA,91601,4,"Trojan Capital Investment, LLC",Thanh Vo,877-684-9517,Trojan Capital Investments,Thanh Vo,2681   San Miguel Drive  316 Newport Beach CA 92660 ,877-684-9517
2421007054,01/12/2017,Single Family,"1707 CAMARILLO ST
LOS ANGELES, CA 91602
",LOS ANGELES,CA,91602,2,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2421007063,03/29/2017,Single Family,"1707 CAMARILLO ST
LOS ANGELES, CA 91602
",LOS ANGELES,CA,91602,2,CitiMortgage,Erin Theobald,877-290-3997,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2501003030,01/05/2017,Single Family,"13382 N LOS OLIVOS ST
LOS ANGELES, CA 91342
",LOS ANGELES,CA,91342,7,Nationstar Mortgage,Dawn Campos,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2510019086,01/31/2017,Single Family,"13269 N JACOB LANE
LOS ANGELES, CA 91342
",LOS ANGELES,CA,91342,7,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2513004015,03/28/2017,Single Family,"12840 N BROMONT AVE
LOS ANGELES, CA 91340
",LOS ANGELES,CA,91340,7,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2527022044,03/30/2017,Single Family,"11806 N BROMONT AVE
LOS ANGELES, CA 91331
",LOS ANGELES,CA,91331,7,OCWEN FINANCIAL CORPORATION,PROPERTY REGISTRATION,319-236-5249,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2528014048,01/26/2017,Single Family,"10145 N BROMONT AVE
LOS ANGELES, CA 91352
",LOS ANGELES,CA,91352,7,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2544003005,01/19/2017,Single Family,"9690 N SUNLAND BLVD
LOS ANGELES, CA 91040
(34.247004, -118.356649)",LOS ANGELES,CA,91040,7,PA Investment,PETER AN,213-805-1834,NULL,NULL,         ,NULL
2552048008,03/15/2017,Single Family,"7393 W PERIGORD CT
LOS ANGELES, CA 91042
",LOS ANGELES,CA,91042,7,US BANK National Association,US BANK National Association,612-973-2749,Five Brothers,Five Brothers,7393   Perigord CT  Los Angeles CA 91042 ,586-772-7600
2559021063,01/07/2017,Single Family,"10134 W CORA ST
LOS ANGELES, CA 91040
",LOS ANGELES,CA,91040,7,bayview,Willie Walton,714-848-7920,Law Offices of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606 ,714-848-7920
2566004036,02/02/2017,Non-Residential,"0
CA 0
",,CA,0,7,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336 ,909-822-1706
2582040037,01/10/2017,Single Family,"16707 W NICKLAUS DR
LOS ANGELES, CA 91342
",LOS ANGELES,CA,91342,7,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010 ,213-383-2097
2644027157,01/05/2017,Single Family,"9391 N WOODMAN AVE
LOS ANGELES, CA 91402
",LOS ANGELES,CA,91402,6,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2649003001,01/06/2017,Non-Residential,"0
CA 0
",,CA,0,7,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
