FiscalYear,MonthYear,Town,AdmMonth,FYMonthOrder,AdmYear,PrimaryDrug,AdmCount
2014,Mar-14,Berlin,3,9,2014,Cocaine,
2014,Mar-14,Berlin,3,9,2014,Heroin,
2014,Mar-14,Berlin,3,9,2014,"Marijuana, Hashish, THC",
2014,Apr-14,Berlin,4,10,2014,Alcohol,9
2014,Apr-14,Berlin,4,10,2014,Cocaine,
2014,Apr-14,Berlin,4,10,2014,Crack,
2014,Apr-14,Berlin,4,10,2014,Heroin,
2014,Apr-14,Berlin,4,10,2014,"Marijuana, Hashish, THC",
2014,May-14,Berlin,5,11,2014,Alcohol,6
2014,May-14,Berlin,5,11,2014,Cocaine,
2014,May-14,Berlin,5,11,2014,Crack,
2014,May-14,Berlin,5,11,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,May-14,Berlin,5,11,2014,Heroin,7
2014,May-14,Berlin,5,11,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Berlin,6,12,2014,Alcohol,13
2014,Jun-14,Berlin,6,12,2014,Cocaine,
2014,Jun-14,Berlin,6,12,2014,Heroin,6
2014,Jun-14,Berlin,6,12,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Berlin,6,12,2014,Other Opiates and Synthetics,
2014,Jul-13,Berlin,7,1,2013,Alcohol,12
2014,Jul-13,Berlin,7,1,2013,Heroin,
2014,Jul-13,Berlin,7,1,2013,"Marijuana, Hashish, THC",
2014,Jul-13,Berlin,7,1,2013,Other Opiates and Synthetics,
2014,Aug-13,Berlin,8,2,2013,Alcohol,7
2014,Aug-13,Berlin,8,2,2013,Cocaine,
2014,Aug-13,Berlin,8,2,2013,Heroin,8
2014,Aug-13,Berlin,8,2,2013,"Marijuana, Hashish, THC",
2014,Aug-13,Berlin,8,2,2013,Other,
2014,Aug-13,Berlin,8,2,2013,Other Opiates and Synthetics,
2014,Sep-13,Berlin,9,3,2013,Alcohol,6
2014,Sep-13,Berlin,9,3,2013,Cocaine,
2014,Sep-13,Berlin,9,3,2013,Heroin,7
2014,Sep-13,Berlin,9,3,2013,"Marijuana, Hashish, THC",
2014,Sep-13,Berlin,9,3,2013,Other Opiates and Synthetics,
2014,Sep-13,Berlin,9,3,2013,PCP,
2014,Oct-13,Berlin,10,4,2013,Alcohol,
2014,Oct-13,Berlin,10,4,2013,Amphetamines,
2014,Oct-13,Berlin,10,4,2013,Heroin,9
2014,Oct-13,Berlin,10,4,2013,Other Opiates and Synthetics,
2014,Nov-13,Berlin,11,5,2013,Alcohol,
2014,Nov-13,Berlin,11,5,2013,Cocaine,
2014,Nov-13,Berlin,11,5,2013,Heroin,
2014,Nov-13,Berlin,11,5,2013,Other Opiates and Synthetics,
2014,Nov-13,Berlin,11,5,2013,PCP,
2014,Dec-13,Berlin,12,6,2013,Alcohol,6
2014,Dec-13,Berlin,12,6,2013,Crack,
2014,Dec-13,Berlin,12,6,2013,Heroin,7
2014,Dec-13,Berlin,12,6,2013,"Marijuana, Hashish, THC",
2014,Dec-13,Berlin,12,6,2013,Other Opiates and Synthetics,
2014,Jan-14,Bethel,1,7,2014,Alcohol,
2014,Jan-14,Bethel,1,7,2014,Heroin,7
2014,Jan-14,Bethel,1,7,2014,"Marijuana, Hashish, THC",
2014,Jan-14,Bethel,1,7,2014,Other Opiates and Synthetics,
2014,Feb-14,Bethel,2,8,2014,Alcohol,10
2014,Feb-14,Bethel,2,8,2014,Heroin,7
2014,Feb-14,Bethel,2,8,2014,"Marijuana, Hashish, THC",
2014,Mar-14,Bethel,3,9,2014,Alcohol,8
2014,Mar-14,Bethel,3,9,2014,Heroin,7
2014,Mar-14,Bethel,3,9,2014,"Marijuana, Hashish, THC",
2014,Mar-14,Bethel,3,9,2014,Other Opiates and Synthetics,
2014,Apr-14,Bethel,4,10,2014,Alcohol,12
2014,Apr-14,Bethel,4,10,2014,Cocaine,
2014,Apr-14,Bethel,4,10,2014,Heroin,6
2014,Apr-14,Bethel,4,10,2014,"Marijuana, Hashish, THC",
2014,Apr-14,Bethel,4,10,2014,Other Opiates and Synthetics,
2014,May-14,Bethel,5,11,2014,Alcohol,7
2014,May-14,Bethel,5,11,2014,Cocaine,
2014,May-14,Bethel,5,11,2014,Heroin,
2014,May-14,Bethel,5,11,2014,"Marijuana, Hashish, THC",
2014,May-14,Bethel,5,11,2014,Other Opiates and Synthetics,
2014,Jun-14,Bethel,6,12,2014,Alcohol,11
2014,Jun-14,Bethel,6,12,2014,Cocaine,
2014,Jun-14,Bethel,6,12,2014,Heroin,7
2014,Jun-14,Bethel,6,12,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Bethel,6,12,2014,Other Opiates and Synthetics,
2014,Jul-13,Bethel,7,1,2013,Alcohol,
2014,Jul-13,Bethel,7,1,2013,Heroin,8
2014,Jul-13,Bethel,7,1,2013,Other Opiates and Synthetics,
2014,Aug-13,Bethel,8,2,2013,Alcohol,9
2014,Aug-13,Bethel,8,2,2013,Benzodiazepines,
2014,Aug-13,Bethel,8,2,2013,Heroin,8
2014,Aug-13,Bethel,8,2,2013,"Marijuana, Hashish, THC",
2014,Aug-13,Bethel,8,2,2013,Other Opiates and Synthetics,
2014,Sep-13,Bethel,9,3,2013,Alcohol,13
2014,Sep-13,Bethel,9,3,2013,Cocaine,
2014,Sep-13,Bethel,9,3,2013,Heroin,6
2014,Sep-13,Bethel,9,3,2013,Other Opiates and Synthetics,
2014,Oct-13,Bethel,10,4,2013,Alcohol,7
2014,Oct-13,Bethel,10,4,2013,"Hallucinogens: LSD, DMS, STP, etc",
2014,Oct-13,Bethel,10,4,2013,Heroin,7
2014,Oct-13,Bethel,10,4,2013,Inhalants,
2014,Oct-13,Bethel,10,4,2013,"Marijuana, Hashish, THC",
2014,Oct-13,Bethel,10,4,2013,Other Opiates and Synthetics,
2014,Oct-13,Bethel,10,4,2013,PCP,
2014,Nov-13,Bethel,11,5,2013,Alcohol,7
2014,Nov-13,Bethel,11,5,2013,"Hallucinogens: LSD, DMS, STP, etc",
2014,Nov-13,Bethel,11,5,2013,Heroin,8
2014,Nov-13,Bethel,11,5,2013,"Marijuana, Hashish, THC",
2014,Nov-13,Bethel,11,5,2013,Methamphetamines,
2014,Nov-13,Bethel,11,5,2013,Other Opiates and Synthetics,
2014,Dec-13,Bethel,12,6,2013,Alcohol,
2014,Dec-13,Bethel,12,6,2013,Benzodiazepines,
2014,Dec-13,Bethel,12,6,2013,Heroin,15
2014,Dec-13,Bethel,12,6,2013,"Marijuana, Hashish, THC",
2014,Dec-13,Bethel,12,6,2013,Other Opiates and Synthetics,
2014,Jan-14,Bloomfield,1,7,2014,Alcohol,9
2014,Jan-14,Bloomfield,1,7,2014,Heroin,
2014,Jan-14,Bloomfield,1,7,2014,"Marijuana, Hashish, THC",
2014,Feb-14,Bloomfield,2,8,2014,Alcohol,
2014,Feb-14,Bloomfield,2,8,2014,Heroin,
2014,Feb-14,Bloomfield,2,8,2014,Other Opiates and Synthetics,
2014,Feb-14,Bloomfield,2,8,2014,PCP,
2014,Mar-14,Bloomfield,3,9,2014,Alcohol,14
2014,Mar-14,Bloomfield,3,9,2014,Cocaine,
2014,Mar-14,Bloomfield,3,9,2014,Crack,
2014,Mar-14,Bloomfield,3,9,2014,Heroin,
2014,Mar-14,Bloomfield,3,9,2014,"Marijuana, Hashish, THC",
2014,Apr-14,Bloomfield,4,10,2014,Alcohol,9
2014,Apr-14,Bloomfield,4,10,2014,Crack,
2014,Apr-14,Bloomfield,4,10,2014,Heroin,
2014,Apr-14,Bloomfield,4,10,2014,"Marijuana, Hashish, THC",
2014,May-14,Bloomfield,5,11,2014,Alcohol,14
2014,May-14,Bloomfield,5,11,2014,Cocaine,
2014,May-14,Bloomfield,5,11,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,May-14,Bloomfield,5,11,2014,Heroin,
2014,May-14,Bloomfield,5,11,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Bloomfield,6,12,2014,Alcohol,8
2014,Jun-14,Bloomfield,6,12,2014,Cocaine,
2014,Jun-14,Bloomfield,6,12,2014,Heroin,6
2014,Jun-14,Bloomfield,6,12,2014,"Marijuana, Hashish, THC",
2014,Jul-13,Bloomfield,7,1,2013,Alcohol,14
2014,Jul-13,Bloomfield,7,1,2013,Heroin,
2014,Jul-13,Bloomfield,7,1,2013,"Marijuana, Hashish, THC",
2014,Aug-13,Bloomfield,8,2,2013,Alcohol,12
2014,Aug-13,Bloomfield,8,2,2013,Heroin,8
2014,Aug-13,Bloomfield,8,2,2013,"Marijuana, Hashish, THC",
2014,Sep-13,Bloomfield,9,3,2013,Alcohol,6
2014,Sep-13,Bloomfield,9,3,2013,Heroin,
2014,Sep-13,Bloomfield,9,3,2013,"Marijuana, Hashish, THC",
2014,Oct-13,Bloomfield,10,4,2013,Alcohol,7
2014,Oct-13,Bloomfield,10,4,2013,Amphetamines,
2014,Oct-13,Bloomfield,10,4,2013,Crack,
2014,Oct-13,Bloomfield,10,4,2013,Heroin,
2014,Oct-13,Bloomfield,10,4,2013,"Marijuana, Hashish, THC",
2014,Oct-13,Bloomfield,10,4,2013,Other Opiates and Synthetics,
2014,Nov-13,Bloomfield,11,5,2013,Alcohol,8
2014,Nov-13,Bloomfield,11,5,2013,Cocaine,
2014,Nov-13,Bloomfield,11,5,2013,Crack,
2014,Nov-13,Bloomfield,11,5,2013,Heroin,
2014,Nov-13,Bloomfield,11,5,2013,"Marijuana, Hashish, THC",6
2014,Dec-13,Bloomfield,12,6,2013,Alcohol,9
2014,Dec-13,Bloomfield,12,6,2013,Amphetamines,
2014,Dec-13,Bloomfield,12,6,2013,Cocaine,
2014,Dec-13,Bloomfield,12,6,2013,Heroin,
2014,Dec-13,Bloomfield,12,6,2013,Inhalants,
2014,Dec-13,Bloomfield,12,6,2013,"Marijuana, Hashish, THC",
2014,Dec-13,Bloomfield,12,6,2013,Other Opiates and Synthetics,
2014,May-14,Bozrah,5,11,2014,Amphetamines,
2014,May-14,Bozrah,5,11,2014,Cocaine,
2014,May-14,Bozrah,5,11,2014,Heroin,
2014,May-14,Bozrah,5,11,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Bozrah,6,12,2014,Alcohol,9
2014,Jun-14,Bozrah,6,12,2014,Amphetamines,
2014,Jun-14,Bozrah,6,12,2014,Cocaine,
2014,Jun-14,Bozrah,6,12,2014,Heroin,
2014,Jun-14,Bozrah,6,12,2014,"Marijuana, Hashish, THC",
2014,Aug-13,Bozrah,8,2,2013,Alcohol,7
2014,Sep-13,Bozrah,9,3,2013,Alcohol,
2014,Sep-13,Bozrah,9,3,2013,Cocaine,
2014,Sep-13,Bozrah,9,3,2013,Heroin,
2014,Jan-14,Branford,1,7,2014,Alcohol,11
2014,Jan-14,Branford,1,7,2014,Benzodiazepines,
2014,Jan-14,Branford,1,7,2014,Cocaine,
2014,Jan-14,Branford,1,7,2014,Crack,
2014,Jan-14,Branford,1,7,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Jan-14,Branford,1,7,2014,Heroin,15
2014,Jan-14,Branford,1,7,2014,"Marijuana, Hashish, THC",
2014,Jan-14,Branford,1,7,2014,Other Opiates and Synthetics,
2014,Feb-14,Branford,2,8,2014,Alcohol,8
2014,Feb-14,Branford,2,8,2014,Cocaine,
2014,Feb-14,Branford,2,8,2014,Heroin,6
2014,Feb-14,Branford,2,8,2014,"Marijuana, Hashish, THC",6
2014,Feb-14,Branford,2,8,2014,Other Opiates and Synthetics,
2014,Mar-14,Branford,3,9,2014,Alcohol,10
2014,Mar-14,Branford,3,9,2014,Benzodiazepines,
2014,Mar-14,Branford,3,9,2014,Cocaine,
2014,Mar-14,Branford,3,9,2014,Crack,
2014,Mar-14,Branford,3,9,2014,Heroin,11
2014,Mar-14,Branford,3,9,2014,"Marijuana, Hashish, THC",
2014,Mar-14,Branford,3,9,2014,Other Opiates and Synthetics,
2014,Apr-14,Branford,4,10,2014,Alcohol,17
2014,Apr-14,Branford,4,10,2014,Cocaine,
2014,Apr-14,Branford,4,10,2014,Heroin,15
2014,Apr-14,Branford,4,10,2014,"Marijuana, Hashish, THC",
2014,Apr-14,Branford,4,10,2014,Other Opiates and Synthetics,
2014,May-14,Branford,5,11,2014,Alcohol,15
2014,May-14,Branford,5,11,2014,Benzodiazepines,
2014,May-14,Branford,5,11,2014,Crack,
2014,May-14,Branford,5,11,2014,Heroin,16
2014,May-14,Branford,5,11,2014,"Marijuana, Hashish, THC",
2014,May-14,Branford,5,11,2014,Other Opiates and Synthetics,6
2014,Jun-14,Branford,6,12,2014,Alcohol,17
2014,Jun-14,Branford,6,12,2014,Barbiturates,
2014,Jun-14,Branford,6,12,2014,Benzodiazepines,
2014,Jun-14,Branford,6,12,2014,Cocaine,
2014,Jun-14,Branford,6,12,2014,Heroin,20
2014,Jun-14,Branford,6,12,2014,"Marijuana, Hashish, THC",
2014,Jun-14,Branford,6,12,2014,Non-Prescriptive Methadone,
2014,Jun-14,Branford,6,12,2014,Other Opiates and Synthetics,9
2014,Jul-13,Branford,7,1,2013,Alcohol,11
2014,Jul-13,Branford,7,1,2013,Benzodiazepines,
2014,Jul-13,Branford,7,1,2013,Crack,
2014,Jul-13,Branford,7,1,2013,Heroin,12
2014,Jul-13,Branford,7,1,2013,"Marijuana, Hashish, THC",
2014,Jul-13,Branford,7,1,2013,Other Opiates and Synthetics,
2014,Aug-13,Branford,8,2,2013,Alcohol,13
2014,Aug-13,Branford,8,2,2013,Benzodiazepines,
2014,Aug-13,Branford,8,2,2013,Cocaine,
2014,Aug-13,Branford,8,2,2013,Crack,
2014,Aug-13,Branford,8,2,2013,Heroin,12
2014,Aug-13,Branford,8,2,2013,"Marijuana, Hashish, THC",
2014,Aug-13,Branford,8,2,2013,Other Opiates and Synthetics,
2014,Sep-13,Branford,9,3,2013,Alcohol,20
2014,Sep-13,Branford,9,3,2013,Benzodiazepines,
2014,Sep-13,Branford,9,3,2013,Cocaine,
2014,Sep-13,Branford,9,3,2013,Crack,
2014,Sep-13,Branford,9,3,2013,Other Opiates and Synthetics,
2014,Oct-13,Branford,10,4,2013,Alcohol,17
2014,Oct-13,Branford,10,4,2013,Cocaine,
2014,Oct-13,Branford,10,4,2013,Heroin,13
2014,Oct-13,Branford,10,4,2013,"Marijuana, Hashish, THC",
2014,Oct-13,Branford,10,4,2013,Other Opiates and Synthetics,
2014,Nov-13,Branford,11,5,2013,Alcohol,17
2014,Nov-13,Branford,11,5,2013,Cocaine,
2014,Nov-13,Branford,11,5,2013,Heroin,16
2014,Nov-13,Branford,11,5,2013,Other Opiates and Synthetics,
2014,Dec-13,Branford,12,6,2013,Alcohol,10
2014,Dec-13,Branford,12,6,2013,Benzodiazepines,
2014,Dec-13,Branford,12,6,2013,Cocaine,
2014,Dec-13,Branford,12,6,2013,Crack,
2014,Dec-13,Branford,12,6,2013,Heroin,12
2014,Dec-13,Branford,12,6,2013,Other Opiates and Synthetics,
2014,Jan-14,Bridgeport,1,7,2014,Alcohol,73
2014,Jan-14,Bridgeport,1,7,2014,Amphetamines,
2014,Jan-14,Bridgeport,1,7,2014,Benzodiazepines,6
2014,Jan-14,Bridgeport,1,7,2014,Cocaine,16
2014,Jan-14,Bridgeport,1,7,2014,Crack,26
2014,Jan-14,Bridgeport,1,7,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Jan-14,Bridgeport,1,7,2014,Heroin,113
2014,Jan-14,Bridgeport,1,7,2014,Inhalants,
2014,Jan-14,Bridgeport,1,7,2014,"Marijuana, Hashish, THC",77
2014,Jan-14,Bridgeport,1,7,2014,Non-Prescriptive Methadone,
2014,Jan-14,Bridgeport,1,7,2014,Other Opiates and Synthetics,11
2014,Jan-14,Bridgeport,1,7,2014,Over-the-Counter,
2014,Jan-14,Bridgeport,1,7,2014,PCP,24
2014,Feb-14,Bridgeport,2,8,2014,Alcohol,90
2014,Feb-14,Bridgeport,2,8,2014,Benzodiazepines,11
2014,Feb-14,Bridgeport,2,8,2014,Cocaine,19
2014,Feb-14,Bridgeport,2,8,2014,Crack,25
2014,Feb-14,Bridgeport,2,8,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Feb-14,Bridgeport,2,8,2014,Heroin,112
2014,Feb-14,Bridgeport,2,8,2014,Inhalants,
2014,Feb-14,Bridgeport,2,8,2014,"Marijuana, Hashish, THC",81
2014,Feb-14,Bridgeport,2,8,2014,Methamphetamines,
2014,Feb-14,Bridgeport,2,8,2014,Other Opiates and Synthetics,14
2014,Feb-14,Bridgeport,2,8,2014,Other Sedatives or Hypnotics,
2014,Feb-14,Bridgeport,2,8,2014,PCP,19
2014,Mar-14,Bridgeport,3,9,2014,Alcohol,110
2014,Mar-14,Bridgeport,3,9,2014,Barbiturates,
2014,Mar-14,Bridgeport,3,9,2014,Benzodiazepines,
2014,Mar-14,Bridgeport,3,9,2014,Cocaine,25
2014,Mar-14,Bridgeport,3,9,2014,Crack,37
2014,Mar-14,Bridgeport,3,9,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Mar-14,Bridgeport,3,9,2014,Heroin,137
2014,Mar-14,Bridgeport,3,9,2014,Inhalants,
2014,Mar-14,Bridgeport,3,9,2014,"Marijuana, Hashish, THC",107
2014,Mar-14,Bridgeport,3,9,2014,Methamphetamines,
2014,Mar-14,Bridgeport,3,9,2014,Non-Prescriptive Methadone,
2014,Mar-14,Bridgeport,3,9,2014,Other Opiates and Synthetics,19
2014,Mar-14,Bridgeport,3,9,2014,Other Stimulants,
2014,Mar-14,Bridgeport,3,9,2014,Over-the-Counter,
2014,Mar-14,Bridgeport,3,9,2014,PCP,22
2014,Apr-14,Bridgeport,4,10,2014,Alcohol,110
2014,Apr-14,Bridgeport,4,10,2014,Benzodiazepines,
2014,Apr-14,Bridgeport,4,10,2014,Cocaine,33
2014,Apr-14,Bridgeport,4,10,2014,Crack,27
2014,Apr-14,Bridgeport,4,10,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Apr-14,Bridgeport,4,10,2014,Heroin,135
2014,Apr-14,Bridgeport,4,10,2014,Inhalants,
2014,Apr-14,Bridgeport,4,10,2014,"Marijuana, Hashish, THC",105
2014,Apr-14,Bridgeport,4,10,2014,Methamphetamines,
2014,Apr-14,Bridgeport,4,10,2014,Other Opiates and Synthetics,24
2014,Apr-14,Bridgeport,4,10,2014,PCP,18
2014,May-14,Bridgeport,5,11,2014,Alcohol,112
2014,May-14,Bridgeport,5,11,2014,Benzodiazepines,7
2014,May-14,Bridgeport,5,11,2014,Cocaine,26
2014,May-14,Bridgeport,5,11,2014,Crack,17
2014,May-14,Bridgeport,5,11,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,May-14,Bridgeport,5,11,2014,Heroin,128
2014,May-14,Bridgeport,5,11,2014,"Marijuana, Hashish, THC",119
2014,May-14,Bridgeport,5,11,2014,Other Opiates and Synthetics,10
2014,May-14,Bridgeport,5,11,2014,PCP,17
2014,Jun-14,Bridgeport,6,12,2014,Alcohol,106
2014,Jun-14,Bridgeport,6,12,2014,Benzodiazepines,
2014,Jun-14,Bridgeport,6,12,2014,Cocaine,25
2014,Jun-14,Bridgeport,6,12,2014,Crack,38
2014,Jun-14,Bridgeport,6,12,2014,"Hallucinogens: LSD, DMS, STP, etc",
2014,Jun-14,Bridgeport,6,12,2014,Heroin,142
2014,Jun-14,Bridgeport,6,12,2014,"Marijuana, Hashish, THC",72
2014,Jun-14,Bridgeport,6,12,2014,Other,
2014,Jun-14,Bridgeport,6,12,2014,Other Opiates and Synthetics,16
